415_2,415_4,415_6,415_8,415_10,415_12,415_14,415_16,415_17,415_18,415_19,415_20,415_21,415_22,415_23,415_24,415_25,415_26,415_27,415_28,415_29,415_30,415_31,415_32,415_33,415_34
POP5,CCDC71L,IPO13,SPON2,POP1,IPO13,SLC4A1AP,NCKAP1,BTG2,DDR1,AANAT,AACSP1,5_8S_rRNA,AADAT,5S_rRNA,ABAT,ABAT,ABAT,5S_rRNA,5S_rRNA,5S_rRNA,,,,,
RAMAC,SPON2,MT-ND4L,BTG2,ALKBH7,RNH1,POP1,SPRING1,CDKN1A,IFITM3,AATK,AANAT,ABAT,AAK1,ABAT,AC002428.1,AC002407.1,ABCA1,AACSP1,A4GALT,AACSP1,,,,,
SLC4A1AP,CCND1,H2AC19,CALCOCO1,NOC2L,SPRING1,SCX,GABPAP,ECM1,IFI27L2,ABAT,AARS2,ABCF3,AARD,ABCC6P1,AC002460.2,AC002428.1,ABCC6P1,AADACL3,AACSP1,AADACL3,,,,,
SPRING1,FTH1,DCAF8,CDKN1A,NDST2,FGFRL1,ALKBH7,FAM122B,KLHL38,CDKN1A,ABCA2,AATBC,AC002407.1,AATF,ABCD1P4,AC005064.1,AC002460.2,ABCD3,AATK,AADACL3,ABCA13,,,,,
GHITM,SESN2,AC156455.1,ECM1,COMTD1,ELK4,TSKU,NDST2,ZFAND2A,ECM1,ABCA3,AATK,AC002428.1,ABAT,ABCD1P5,AC005144.1,AC005064.1,ABCF1,ABAT,AADACL4,ABCC6,,,,,
TSKU,FDXR,SPRING1,OTUD7B,ANKFY1,FAM122B,NDST2,FAM91A3P,H2AC19,ZFAND2A,ABCA7,ABAT,AC002460.2,ABCA1,ABO,AC005224.3,AC005144.1,ABHD12,ABCA13,AATK,ABCC6P1,,,,,
ATP5IF1,LZTS1,GHITM,PANX2,ARPIN,SCAMP4,ANKFY1,EVA1B,ADAMTS1,FTH1P16,ABCC8,ABCA2,AC005064.1,ABCA3,AC000111.2,AC005301.2,AC005224.3,ABTB2,ABCC6,ABAT,ABCD1P4,,,,,
LSM10,SEPHS2,FGFRL1,SIN3B,GSTK1,FAM91A3P,ARPIN,PIP4K2A,H2BC21,H2AC19,ABCG8,ABCA3,AC005144.1,ABCA17P,AC000124.1,AC005537.1,AC005301.2,AC000124.1,ABCC6P1,ABCA4,ABCD1P5,,,,,
FAM91A3P,TNS2,ELK4,ADAMTS1,ENDOG,PSMD6,ENDOG,PIP4K2B,PCAT6,IFI35,ABHD12B,ABCA7,AC005224.3,ABCB8,AC002070.1,AC005829.1,AC005537.1,AC002368.1,ABCC8,ABCA13,ABHD17AP7,,,,,
PSMD6,PHLDA3,FAM91A3P,CHMP1B,ZNF12,EVA1B,ZNF12,SBDSP1,SESN2,SPATA20,ABLIM2,ABCA17P,AC005301.2,ABCC1,AC002090.1,AC006148.1,AC005829.1,AC002407.1,ABCD1P4,ABCC6,ABHD17AP9,,,,,
ZFYVE27,SLC12A9,PSMD6,FTH1,PRKAB1,PSMD5,PRKAB1,JUNB,ACP5,PCAT6,ABO,ABCB9,AC005537.1,ABCC4,AC002101.1,AC006450.3,AC006148.1,AC002428.1,ABCD1P5,ABCC6P1,ABI3BP,,,,,
OTUD6B-AS1,ATP6V1G1,ZFYVE27,GPER1,RC3H2,ZMIZ2,SCO2,ARPIN,UPP1,AL591846.1,AC000093.1,ABCC6,AC005597.1,ABCC6P1,AC002428.1,AC006453.1,AC006450.3,AC002456.1,ABCG8,ABCC6P2,ABLIM3,,,,,
PGAP6,SHISA4,CREB3L4,PEA15,MTHFD2,NAMPT,DDIT3,IER3,SLC16A3,ACP5,AC002070.1,ABCC6P1,AC005829.1,ABCD3,AC002428.2,AC006453.4,AC006453.1,AC002460.2,ABHD12B,ABCC8,AC000124.1,,,,,
EXOC3-AS1,EML3,EVA1B,SESN2,SCO2,PIP4K2A,ZC3H11A,IAH1,TNS2,UPP1,AC002101.1,ABCC8,AC005833.2,ABCF1,AC002460.2,AC006971.1,AC006453.4,AC003044.1,ABHD17AP7,ABCD1P4,AC002090.1,,,,,
GSTK1,DLGAP1-AS2,OTUD6B-AS1,SLC16A6,DDIT3,SBDSP1,DDIT4,TSPYL1,TNFRSF12A,AL160408.2,AC002428.1,ABCC10,AC005865.1,ABHD4,AC003044.1,AC007656.1,AC006487.2,AC004112.1,ABHD17AP9,ABCD1P5,AC002128.1,,,,,
