TCGA1,TCGA2,TCGA3,TCGA4
PCDH20,1,0,0,0
CNTN3,1,0,0,0
CCDC68,1,0,0,0
ZNF204P,1,0,0,0
STXBP5L,1,0,0,0
PDE3A,1,0,0,0
ZNF883,1,0,0,0
CHL1,1,0,0,0
SLC25A27,1,0,0,0
ZNF702P,1,0,0,0
ZNF667,1,0,0,0
ZNF391,1,0,0,0
KYNU,1,0,0,0
MPPED2,1,0,0,0
PCDHA13,1,0,0,0
PYY,0,1,0,0
CRYBB2,0,1,0,0
EYA2,0,1,0,0
ERVFRDE1,0,1,0,0
MYO7B,0,1,0,0
LOC643719,0,1,0,0
C20orf26,0,1,0,0
DLL3,0,1,0,0
RHCG,0,1,0,0
COX6A2,0,1,0,0
SOSTDC1,0,1,0,0
TMEM151A,0,1,0,0
FXYD1,0,1,0,0
LOC441869,0,1,0,0
LOC100188947,0,1,0,0
SSX5,0,0,1,0
C1orf116,0,0,1,0
GSG1L,0,0,1,0
VTN,0,0,1,0
COL9A3,0,0,1,0
AMN,0,0,1,0
DYSF,0,0,1,0
NECAB2,0,0,1,0
CDH4,0,0,1,0
ADAM11,0,0,1,0
CAMK1G,0,0,1,0
NXPH4,0,0,1,0
NPAS1,0,0,1,0
SUSD2,0,0,1,0
BAI1,0,0,1,0
CXCL13,0,0,0,1
RIMS2,0,0,0,1
KCNV2,0,0,0,1
GAD1,0,0,0,1
IDO1,0,0,0,1
GBP1,0,0,0,1
UBD,0,0,0,1
JAKMIP1,0,0,0,1
SH2D1A,0,0,0,1
CXCL9,0,0,0,1
COL22A1,0,0,0,1
GBP5,0,0,0,1
TM7SF4,0,0,0,1
LOC96610,0,0,0,1
TIGIT,0,0,0,1
