KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,LEE_NEURAL_CREST_STEM_CELL_UP,LEE_NEURAL_CREST_STEM_CELL_DN,GO_NEURAL_CREST_CELL_DIFFERENTIATION,GO_NEURAL_TUBE_DEVELOPMENT,Monosomy 3 Up,Monosomy 3 Down,Castle 2,Castle 1,Class 1 Onken v2,Class 2 Onken v2,EHLERS_ANEUPLOIDY_UP,EHLERS_ANEUPLOIDY_DN,GO_PCG_PROTEIN_COMPLEX,DOUGLAS_BMI1_TARGETS_UP,DOUGLAS_BMI1_TARGETS_DN,BENPORATH_PRC2_TARGETS,WIEDERSCHAIN_TARGETS_OF_BMI1_AND_PCGF2,BENPORATH_SUZ12_TARGETS,BENPORATH_EED_TARGETS,BMI1_DN.V1_DN,BMI1_DN.V1_UP,BMI1_DN_MEL18_DN.V1_DN,BMI1_DN_MEL18_DN.V1_UP,GO_CHROMATIN_BINDING,GO_CHROMATIN_MODIFICATION,GO_CHROMATIN_ORGANIZATION,GO_CHROMOSOME_ORGANIZATION,GO_HISTONE_H2A_MONOUBIQUITINATION,GO_HISTONE_H2A_UBIQUITINATION,GO_HISTONE_MONOUBIQUITINATION,GO_HISTONE_UBIQUITINATION,GO_NUCLEAR_UBIQUITIN_LIGASE_COMPLEX,GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL,GO_PROTEIN_MONOUBIQUITINATION,GO_PROTEIN_UBIQUITINATION,GO_UBIQUITIN_LIGASE_COMPLEX,STEGMEIER_PREMITOTIC_CELL_CYCLE_REGULATORS,GO_HISTONE_H2A_ACETYLATION,GO_HISTONE_DEUBIQUITINATION,GO_HISTONE_H3_K4_TRIMETHYLATION,CIN_signature_Bakhoum,CIN_responsive_NC_NFKB_UP_Bakhoum,CIN_responsive_NC_NFKB_DN_Bakhoum,NC_NFKB_REGULATORS_UP_Bakhoum,NC_NFKB_REGULATORS_DN_Bakhoum,CANONICAL_NFKB_REGULATORS_Bakhoum,INTERFERON_REGULATORY_GENES_Bakhoum,EMT_GENES_Bakhoum,INFLAMMATION_GENES_Bakhoum,MIGRATION_MOTILITY_GENES_BAKHOUM,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_INTERFERON_ALPHA_RESPONSE,92_1_PRT24h_1p5FC,92_1_PRT24h_1p2FC,92_1_PRT24h_1p0FC
ARAF,AKR1C1,AGPAT4,ACVR1,ADM,CITED1,PLIN2,CDH1,EIF1B,ABHD6,AACS,ALDH3A2,GPAT4,AEBP2,AASS,ABHD4,ABCC8,ABLIM3,ABCC6,AATF,ABHD8,ABCA1,A2M,ABCA1,ACTB,ACTB,ACTB,ACD,BCOR,BCOR,BCOR,BCOR,ANAPC1,AAAS,BCOR,AKT1,AMFR,CYLD,ACTL6A,ASXL1,ARID4A,PELI2,PPARG,MACROD1,NFKB2,TRAF2,NFKB1,IRF3,VIM,RGS16,CALD1,ABCA1,ADAR,HSPA6,HSPA6,HSPA6
BID,ALCAM,ARL4C,ALDH1A2,ALDH1A2,CLIP3,ALDH5A1,ECM1,FXR1,ABLIM1,ABCC1,ALOX5AP,ANO6,ASXL1,ABCA2,ACAD9,ABTB2,ADAM19,ABCC8,ABCA8,ALX4,ACTA2,ABCA4,ABLIM3,ACTL6A,ACTL6A,ACTL6A,ACIN1,CUL4B,CUL4B,CDC73,CBX8,ANAPC10,AKT1,CDC73,AKTIP,ANAPC1,DZIP3,BRD8,ATXN7,BEND3,BMP2,DDIT3,GSTA4,RELB,TRAF3,RELA,IRF7,ZEB2,DENND5A,CAV2,AREG,B2M,HSPA1A,HSPA1A,HSPA1A
BRAF,ANXA1,BCL2,BMPR1A,ALX1,HTR2B,MTUS1,HTR2B,ID2,ACAA1,ABHD3,ATR,CA14,BAP1,ACACA,ACSL4,ADAMTS15,ADM,ABCG4,ABCC8,API5,ADAM12,ACOX2,ADAM12,ACTN4,ACTL6B,ACTL6B,ACTB,DDB1,DDB1,CTR9,CDC73,ANAPC11,AKTIP,CTR9,AMFR,ANAPC10,FBXO5,DMAP1,ATXN7L3,CTR9,SHH,NUPR1,SCN9A,MAP3K14,BIRC2,TRAF1,TBK1,SNAI2,BTG2,EGFR,ATF3,BATF2,SPP1,SPP1,SPP1
CASP3,AP1S2,BEGAIN,CORO1C,AMBRA1,CADM1,CHL1,RAB31,LMCD1,SDHAF3,ABR,BCL2L2,CNIH4,BCOR,ACBD3,ACSS3,ADAMTS18,AXL,ABHD6,ABHD15,ARHGAP12,ADRB2,AK1,ADAM19,ADNP,ACTR6,ACTR6,ACTL6A,DDB2,DDB2,CUL4B,CTR9,ANAPC13,AMFR,CUL1,ANAPC1,ANAPC11,LTN1,EP400,BAP1,HIST1H1C,TNS4,RAB3B,BDNF,,BIRC3,TRAF4,,ZEB1,STAT3,FN1,ATP2B1,BST2,GDF15,GDF15,GDF15
CD244,ARHGDIA,BMP7,CYP26C1,APAF1,KDELR3,ETV1,,LTA4H,ACP5,ABTB2,CAST,FZD9,BMI1,ASIC1,ACTA2,ADAP2,BCL7A,ABTB2,ABTB2,ARHGAP15,AGRN,API5,ADM,AIRE,ACTR8,ACTR8,ACTL6B,KDM2B,KDM2B,DDB1,CUL4B,ANAPC16,ANAPC1,CUL3,ANAPC10,ANAPC13,RAD18,EPC1,BRCC3,HIST1H1D,RAB3B,IGFBP4,LACTB,,,TRAF5,,,IFITM3,ITGB1,B4GALT1,C1S,KRTAP19-1,KRTAP19-1,KRTAP19-1
CD247,ARL6IP5,BTG3,EDN1,ARHGAP35,TSPYL5,COX6A2,,MTUS1,ADCY6,ACACB,CCP110,GABRB3,CBX2,ACIN1,ADAL,ADARB2,BMP1,ACADL,ACVR1C,BLVRB,ANPEP,APOE,ADM2,ANKRD17,AEBP2,AEBP2,ACTR6,PCGF1,PCGF1,DDB2,DDB1,ANAPC2,ANAPC10,CUL4B,ANAPC11,ANAPC16,RING1,ING3,ENY2,HIST1H1E,ROBO1,LRRC8C,,,,TRAF6,,,CD47,JAG1,B4GALT5,CASP1,CYP1A1,CYP1A1,CYP1A1
CD48,ATP1A2,C14orf159,EDN3,ARID1A,RARRES2,ETS1,,ROBO1,ADD3,ACADVL,CGRRF1,GMPR,CBX4,PXYLP1,AGPAT3,ADCY4,BMP5,ACAN,ACYP2,BMI1,ANXA3,AQP3,ADRB2,ANKRD2,ANP32E,ANP32B,ACTR8,RING1,RING1,DTX3L,DDB2,ANAPC4,ANAPC11,DDB1,ANAPC13,ANAPC2,RNF32,MEAF6,KAT2A,KMT2A,ARHGAP28,TCP11L2,,,,,,,SLAMF7,MSN,BCL2A1,CASP8,CRYAB,CRYAB,CRYAB
CHP,BCHE,C1orf61,EDNRA,ARL13B,WARS,SSUH2,,SATB1,ADH5,ACIN1,CLK4,LY6E,CBX6,ACYP1,AMDHD2,ADCY8,CAV1,ASIC2,ADAMTS15,BRCC3,ASPH,ARSD,ANXA3,APBB1,APBB1,ANP32E,AEBP2,RNF168,RNF168,KDM2B,DTX3L,ANAPC5,ANAPC13,DDB2,ANAPC16,ANAPC4,SKP2,MORF4L1,MYSM1,KMT2B,CHN2,MAFK,,,,,,,REL,MST1R,BCL3,CCRL2,ECM1,ECM1,ECM1
CHP2,BGN,CA2,EDNRB,ATP6AP2,,FZD6,,,ADRB2,ACLY,COX6A2,NCS1,CBX7,ADA,ANAPC1,ADCYAP1,CCDC80,ACSS1,ADAMTS18,BST2,ATF6,ASPHD1,APBB2,APEX1,CENPS-CORT,APBB1,AHCTF1,RNF2,RNF2,LEO1,HUWE1,ANAPC7,ANAPC16,DTL,ANAPC2,ANAPC5,SOCS2,MORF4L2,SUPT3H,OGT,CST1,NRG1,,,,,,,BCL6,NODAL,BCL6,CD47,CDKN1A,CDKN1A,CDKN1A
